1,28,24797,1297,2194,24597
2,31,34594,3688,3164,24888
3,34,44391,7673,5492,25373
4,37,54188,13252,9760,26052
5,40,63985,20425,16550,26925
6,43,73782,29192,26444,27992
7,46,18579,39553,40024,29253
8,49,28376,51508,57872,30708
9,52,38173,65057,80570,32357
10,55,47970,80200,108700,34200
11,58,57767,96937,142844,36237
12,61,67564,115268,183584,38468
13,64,77361,135193,231502,5893
14,67,22158,156712,287180,8512
15,25,31955,179825,351200,11325
16,28,41752,204532,424144,14332
17,31,51549,230833,506594,17533
18,34,61346,258728,599132,20928
19,37,71143,288217,702340,24517
20,40,15940,319300,816800,28300
21,43,25737,351977,943094,32277
22,46,35534,386248,131804,36448
23,49,45331,422113,283512,5813
24,52,55128,459572,448800,10372
25,55,64925,498625,628250,15125
26,58,74722,539272,822444,20072
27,61,19519,581513,81964,25213
28,64,29316,625348,307392,30548
29,67,39113,670777,549310,36077
30,25,48910,717800,808300,6800
31,28,58707,766417,134944,12717
32,31,68504,816628,429824,18828
33,34,78301,868433,743522,25133
34,37,23098,921832,126620,31632
35,40,32895,26825,479700,38325
36,43,42692,83412,853344,10212
37,46,52489,141593,298134,17293
38,49,62286,201368,714652,24568
39,52,72083,262737,203480,32037
40,55,16880,325700,665200,4700
41,58,26677,390257,200394,12557
42,61,36474,456408,709644,20608
43,64,46271,524153,293532,28853
44,67,56068,593492,852640,37292
45,25,65865,664425,487550,10925
46,28,75662,736952,148844,19752
47,31,20459,811073,787104,28773
48,34,30256,886788,502912,37988
49,37,40053,14097,246850,12397
50,40,49850,93000,19500,22000
51,43,59647,173497,771444,31797
52,46,69444,255588,603264,6788
53,49,79241,339273,465542,16973
54,52,24038,424552,358860,27352
55,55,33835,511425,283800,37925
56,58,43632,599892,240944,13692
57,61,53429,689953,230874,24653
58,64,63226,781608,254172,35808
59,67,73023,874857,311420,12157
60,25,17820,19700,403200,23700
61,28,27617,116137,530094,35437
62,31,37414,214168,692684,12368
63,34,47211,313793,891552,24493
64,37,57008,415012,177280,36812
65,40,66805,517825,450450,14325
66,43,76602,622232,761644,27032
67,46,21399,728233,161444,4933
68,49,31196,835828,550432,18028
69,52,40993,945017,29190,31317
70,55,50790,105800,498300,9800
71,58,60587,218177,58344,23477
72,61,70384,332148,609904,37348
73,64,15181,447713,253562,16413
74,67,24978,564872,889900,30672
75,25,34775,683625,619500,10125
76,28,44572,803972,392944,24772
77,31,54369,925913,210814,4613
78,34,64166,99448,73692,19648
79,37,73963,224577,932160,34877
80,40,18760,351300,886800,15300
81,43,28557,479617,888194,30917
82,46,38354,609528,936924,11728
83,49,48151,741033,83572,27733
84,52,57948,874132,228720,8932
85,55,67745,58825,422950,25325
86,58,77542,195112,666844,6912
87,61,22339,332993,10984,23693
88,64,32136,472468,355952,5668
89,67,41933,613537,752330,22837
90,25,51730,756200,250700,5200
91,28,61527,900457,751644,22757
92,31,71324,96308,355744,5508
93,34,16121,243753,13582,23453
94,37,25918,392792,675740,6592
95,40,35715,543425,442800,24925
96,43,45512,695652,265344,8452
97,46,55309,849473,143954,27173
98,49,65106,54888,79212,11088
99,52,74903,211897,71700,30197
100,55,19700,370500,122000,14500
